Pharmacy,PharmacistName,Mouhafaza,Casa,Address,Phone
al chifa al jadida,Ifdal Adnan Sabsabi,LIBAN NORD,TRIPOLI,Tripoli-Abi Samra-Rue Al Manar,06/435040
al chifa`,Hayat Mouhammad Hussein,LIBAN SUD,TYR,Burj Al Chamali - Tyr,07/475335
al chifa` 2,Hussein Khalil Halawi,Al Nabatieh,MERGEOUN,Kfarkallah-Al Hama-Rue Principale,07/855501
al chifa` machghara,Ali Mohammad Houssein,BEKAA,BEKAA OUEST,Machghara,08/651570
al chifa`a,Hussein Fayssal Nassereddine,BEKAA,-,Hermel,08/201166
al chifaa,Mustapha Ahmad Ghamrawi,LIBAN NORD,Al Minyeh / Al Denniyeh,Al Minyeh-La Rue Principale,06/464565
al chifaa`,Hammoud M. Moussawi,BEKAA,-,Nabi Chit - Quartier  Al Gharbi,08/335484
al chifaa` riyak,Haitham Ali Nakad,BEKAA,ZAHLE,Haouch Hala-La Route Principale,08/900927
al chir,Roula Ramez Nabbout,LIBAN NORD,AL KOURA,Amyoun-quartier De L`Est-La Rue Principale,06/951231
al choueifat,Fayza Toufic Nouwaihed,MONT LIBAN,ALEY,Amroussieh-Prés Du Palais Municipal,05/433022
al choueir,Carole Roukos Abi Karam,MONT LIBAN,AL MATN,Dhour Al Choueir-Rue Fares Mechrek,04/390092
al chouhadaّ,Sami Antoun Abi Antoun,MONT LIBAN,BAABDA,Ain Al Remmeneh-Rue Ghannoum,01/285744
al condor,Rima Ahmad Riad El - Fassih,LIBAN NORD,TRIPOLI,Tripoli-Quartier Boustane Al Kamar-Propriete De Rima & Ahmad Al Fassih,06/210561
al dahieh,Hussein Moustafa Mansour Jamaleddine,MONT LIBAN,BAABDA,Borj Al Barajneh-Al Maamourah,01/467550
al dalati,Rim Fayez Ialy,LIBAN NORD,TRIPOLI,Tripoli-quartier Abi Samra-Rue Du College Al Arez,06/438750
al daoussa,Fatima Majed Ktail,LIBAN NORD,-,Al Daoussa-Quartier Baghdadi-La Rue Principale,-
al dar,Wafa Said Ibrahim,LIBAN NORD,Al Minyeh / Al Denniyeh,Al Minyeh-Denniyeh,-
al darazi,Aayad Saeddine Darazi,LIBAN SUD,JEZZINE,Roume- Jezzine,03/310092
al dawha,Effat Khattar Soueid,MONT LIBAN,ALEY,Aramoun-Daouhet Aramoun-Rue Principale,05/807695
al dawha pharmacy al marj,Mohamad Houssein Araji,BEKAA,ZAHLE,Zahle-Al Marj,71/158229
al debbiyeh,Talal Hussein Zbib,MONT LIBAN,AL CHOUF,Al Debbiyeh-La Rue Principale-Quartier Al Sayar-Propriete Khalil al Saadi,07/996158
al debs,Georges Fouad Debs,BEKAA,-,Baalback-Al Assira-La Route Principale,08/373543
al dilati,Kamal Toufic Dilati,Al Nabatieh,NABATIEH,Nabatieh-Al Beyad-Rue Zebdine,07/769800
al diya,Ayman Youssef Diya Alameddine,LIBAN NORD,TRIPOLI,Tripoli-Al Bassatine,06/210890
al diya a,Rafa`a Hamzé Hamzé,MONT LIBAN,AL CHOUF,Haret Al Naemeh-Al Chkif,05/600585
al doha,Ghassan Abdel Rahman El Asmar,LIBAN NORD,TRIPOLI,Tripoli-Zeytoun Tripoli,70/170217
al dounia,Ghassan Daou Myriam,MONT LIBAN,BAABDA,Ain Al Remmeneh-Rue Pierre Gemayel,01/390060
al doureyb,Ali Mohammed Affan,LIBAN NORD,-,Al Kawachra-La Rue Principale,06/830877
al enas pharm,Inass Najib Jabak,MONT LIBAN,ALEY,Al Kobbeh-Aley,-
al fadi,Fady Georges Aramouny,MONT LIBAN,BAABDA,Furn El Chebback-Route De Damas,01/283612
al fadi 2,Fady Adel Abou El Hosn,MONT LIBAN,BAABDA,Hammana-Cartier Du Bon Pasteur-Route Principale,05/530206
al fadi 3,Fadi Kamel Mattout,LIBAN SUD,TYR,Bazourieh-La Rue Principale- Propriete De Ali Watfa,07/376274
al fadila,Salwa Bassam Moukaddem,LIBAN NORD,TRIPOLI,Tripoli-Al Bassatine,06/441830
al faizoun pharmacy,Fayza Mahmoud Kojok,MONT LIBAN,AL CHOUF,Al Jieh,07/996581
al fajr,Siham Mahmoud Ibrahim,LIBAN SUD,TYR,Borj Al Chamali,07/742761
al fakiha,Saadedin Ahmad Meslimani,BEKAA,-,Al Fakiha-La Route Principale,-
al fallah,Falah Salah El Din El Namel,LIBAN NORD,TRIPOLI,Tripoli- Al Tel,06/439187
al faracha,Achraf Mohamed Farache,MONT LIBAN,ALEY,Al Kobbeh,05/811910
al farah,Houssein Ali Lakiss,BEKAA,-,Baalback-Rue Al Kalaa,70/823532
al farah 2,Mohamad Malek Abdeljawad Cheikh Ibrahim,LIBAN NORD,TRIPOLI,Tripoli-quartier Al Haddadine-Prés De La Maison De Repos,06/426436
al farah 3,Marie Antonios Malkoun,Al Nabatieh,MERGEOUN,Jdeidet Margeoune-quartier Du Serail-Le Boulevard,07/830058
al farah-habouch,Chadi Hussein Darwich,Al Nabatieh,NABATIEH,Habouch,07/531233
al farmachia,Youmna Elias Warde,MONT LIBAN,AL MATN,Sin El Fil-Horch Tabet-Rue Du Prince Bechir-Propriete De L`hopital Hayek,01/491790
al farouk,Manal Farouk Fathi,MONT LIBAN,ALEY,Al Chouaifat-Al Kobbeh-Rue De La Statue,05/806724
al farouk 2,Zeinab Farouk Saab,MONT LIBAN,AL CHOUF,Chhim-Mahalat Al Nahr,07/243543
al fatouni,Ali Ghazi Ftouni,Al Nabatieh,MERGEOUN,Majdel Selem-Merjeoun,07/365366
al fayha,Yasmine Abdelrazzak Alemeddine,LIBAN NORD,TRIPOLI,Tripoli-quartier al Haddadine-Place al Nejmeh,06/433311
al fayhaa` al mina`,Fadi Mohamad Nizar Afiouni,LIBAN NORD,TRIPOLI,Tripoli - Al Mina,06/220448
al fersol,Najib Mayez Moutran,BEKAA,ZAHLE,Al Fersol-La Route Principale,08/951350
al firas pharmacy,Firas Noureddine Malaeb,MONT LIBAN,ALEY,Bayssour-La Rue Principale,76/996502
al fouad,Hoda Fayez Chamsine,LIBAN NORD,ZGHORTA,Mejdlaya,06/391923
al fouad pharmacy,Fouad Daniel Walid Khaddage,MONT LIBAN,ALEY,Kfar Matta - Aley,05/211421
al fouar,Elias Daniel Nassif,LIBAN SUD,SAYDAH,Ain Al delb-Al Fouar -Rue  Principale,07/753788
al ghadir,Khodor AbdelNabi Faour,MONT LIBAN,BAABDA,Borj Al Barajneh-Tehwitat Al Ghadir,01/473060
al ghadir 2,Zeinab Taan Hajj Sleiman,BEKAA,-,Bednayel,08/910458-08/823796
al ghadir al tobbieh,Walaa Mehdi Jaafar,BEKAA,-,Baalback-La Principale Route De Tel Al Abyad,70/650808
al ghanem,Asia Mahmoud Ali,LIBAN NORD,TRIPOLI,Tripoli-Quartier Al Dam Wa Al Farez-Rue Des Jardins de Tripoli,06/411764
al gharb,Lina Asaad Hamaydan,MONT LIBAN,ALEY,Aitat-Rue Principale,05/270237
al ghazal,Randa Nizar Arif Ghazal,LIBAN NORD,TRIPOLI,Tripoli-Rue Al Moutrane,06/441237
al habbal,Shafik Hussein Habbal,LIBAN SUD,SAYDAH,Saida-Al Dacramane-La Rue Du Boulevard De L`Est,07/751446
al hachem,Charbel Youssef Hachem,MONT LIBAN,-,Halat-La Rue Principale,09/477026
al hachem 2,Ahmad Adel Hachem,LIBAN NORD,-,Ain Yaacoub,06/361095
al hadath-baalback,Deblen Ali Moustrah,BEKAA,-,Baalback-Al Talila,08/331200
al haddad,Oussama Mohamad El Haddad,LIBAN NORD,TRIPOLI,Tripoli-Zeitoun Tripoli-Sirine Center,06/445058
al haddam pharmacy,Abeer Mohamad El  Haddam,LIBAN NORD,-,Tel Abbas Charki- Akkar,-
al hadi,Ali  Geafar Yahfoufi,BEKAA,-,Baalback-Al Nabi Inaam,08/370419
al hadi 2,Helmi Amine Ammar,MONT LIBAN,BAABDA,Mayss Al Jabal - rue Al Birkeh,01/476323
al hadi 3,Samer Hadi Abbas,LIBAN SUD,SAYDAH,Al Zrarieh-Saida,07/305398
al hadi 4,Nadia Abdelhadi Chahine,Al Nabatieh,NABATIEH,Nabatieh-Al Doueir-cartier Des Roses,07/435743
al hadi 5,Hassan Ahmad Abed Ali,LIBAN SUD,TYR,Tyr-Quartier Al Ramel-La Rue Des Banques,07/740708-07/343069
al hadi al haditha,Zeinab Adnane Al Youssef,BEKAA,BEKAA OUEST,Sohmor-West Bekaa,08/635455
al hadi al jadida,Nasser Abdo Medlej,BEKAA,-,Younine-La Route Principale,08/305840
al hadi pharmacy,Wahbi Amer Bayram,MONT LIBAN,AL CHOUF,Al Werdanieh- Al Chouf,07/971021
al hadipharma,Hadi Hassan Bjeiji,BEKAA,-,Britele-Al Zaarir-La Route Principale,-
al haditha,Alla Valerie Ismail,BEKAA,-,Baalback-rue Becharra Al Khoury,08/371786
al hajj,Makram Ali Hajj,MONT LIBAN,AL CHOUF,Jieh-Route DE Saida/Beyrouth,07/995674
al hajj 2,Magda Jean Hajj,MONT LIBAN,BAABDA,Hazmieh-quartier St. Elie,05/457104-05/450718
al hajj al jadida,Nariman Chaker Hajj,MONT LIBAN,AL CHOUF,Sibline-Rue Principale,07/971515
al hala,Hala Hassan Zein,MONT LIBAN,AL CHOUF,Al Mgheiriyeh-Place  Principale,07/974040
al hala 2,Hala Said Chorba,MONT LIBAN,BAABDA,Hadath-Rue Al Kafeat,05/467132
al halbawi,Hussein Ahmad helbawi,MONT LIBAN,BAABDA,Ghobeiry,01/380617
al hamad,Majida Mouhammad Hamad,Al Nabatieh,HASBAYA,Hasbaya-quartier Al Sarab,07/550246
al hamad 2,Ahmad Hamad Bakkour,LIBAN NORD,-,Bebnine-Akkar,06/471401
al hamra,Maha Hachimi Fezza,BEYROUTH,BEYROUTH,Ras Beyrouth,01/739792
al hamwi,Mouhammad Ahmad Hamawi,BEKAA,BEKAA OUEST,Al Karaoun-Route Principale,08/630630
al hamzeh,Ali Abdallah Khalife,LIBAN SUD,SAYDAH,Al Merwanieh,07/505447
al hana a,Hussein Youssef Sibai,MONT LIBAN,BAABDA,Burj Al Barajneh-Al Minchieh-Rue Imam Ali,01/472922
al hanane,Roudwa Ali Chreif,BEKAA,-,Boudai-Quartier Al Mourtada,08/300349
al hanane 2,Hanane Melhem Zahreddine,MONT LIBAN,AL CHOUF,Ayn Zhalta,05/501526
al hani,Lamia Muhieddine Zaatari,LIBAN SUD,SAYDAH,Al Hilaliyeh-Rue Jezzine,07/722975
al hara al jadida,Mouhamad Ali Hassan,LIBAN SUD,SAYDAH,Saida-La Route De Jbaa`,07/736066
al hasanein,Hassan Ramez Chahine,LIBAN SUD,TYR,Seddikine-Rue Principale,71/947440
al hassan,Samar Abdallah Hassan,LIBAN SUD,SAYDAH,Saida-Quartier Al Dakramane-Rue De La Serail,07/735968
al hassan 2,Mayassa Khalil Moussa-Haidar,BEKAA,-,Kousarnaba,08/911636
al hassan 3,Hassan Amine Hourani,MONT LIBAN,BAABDA,Haret Hreik-Quartier Baajour,01/542067
al hassan pharmacy,Amena Hassan Al Mokdad,MONT LIBAN,BAABDA,Borj Al Barajneh- Rue Al Hamra,01/467148
al hawat pharmacy,Sahar Mohamad Haydar,LIBAN NORD,Al Minyeh / Al Denniyeh,Deir Ammar-Al Minyeh,06/462965
al hawra ّ,Samar Nehmé Chehaimi,MONT LIBAN,BAABDA,Haret Hreik-Bir Al Abed-Rue Principale,01/556060
al hayat,Selman Al-Abed Selman,MONT LIBAN,BAABDA,Mreijeh-Place Principale,01/471132
al hayat 2,Zahra Mohamad Sadek,BEKAA,ZAHLE,Riyak-Haouch Hala,08/900903
al hayat 3,Omar Bassam Abdulhay Dabbagh,LIBAN NORD,TRIPOLI,Tripoli-Al Tebbaneh-Rue De  Syrie,06/381148
al hayat 4,Bahjat Mohamad Mayss,BEKAA,ZAHLE,Bar Elias-L`Entrée Principale De La Ville,-
al hayat 5,Lydia Gregory Kalinichenko,Al Nabatieh,NABATIEH,Jbaa`,07/210062
al hayat 6,Mohamad Youssef Srour,Al Nabatieh,BENT JBEIL,Ayta Al Chaeb,07/465104
al hayat 7,Hassan Youssef Sabra,BEKAA,ZAHLE,Saednayel-Quartier Al Sahel,08/507620
al hayat 8,Ramona Atef Abdul Salam,MONT LIBAN,AL CHOUF,Ayn W Zein-La Rue Principale,05/500671
al hayat 9,Shadi Mohamad Turky,LIBAN SUD,TYR,Tyr-Al Bass-La Zone Industrielle,07/350073
al hayat pharm,Mohamed Ali Hamie,BEKAA,-,Taria-Baalback-La Route principale-Propriete De Ahmad Hamiyeh,08/332740
al hayek,Nermine Riyad Al Hayek,LIBAN NORD,-,Khreibet Al Joundi,06/694779
al haykaliyeh,Fadl Ahmad Bakkour,LIBAN NORD,AL KOURA,Ras Meska,06/411465
al haytham,Milliam Lee Kong York Habli,LIBAN SUD,SAYDAH,Saida-Rue De L` Avenue Du President Berri,07/753141
al hedek,Amal Adnan Hedek,LIBAN SUD,SAYDAH,Al Hilaliyeh-Kiyaa`,07/726020
al helou,Zaher Ahmad Kobrosli,LIBAN SUD,SAYDAH,Al Hilaliyeh-Saida,07/750076
al hermel al kobra,Ali Hussein Chahine,BEKAA,-,Al Hermel-quartier du  Village-Rue al Hermel,08/200947
al hiba,Hiba Ahmad Iaaly,LIBAN NORD,Al Minyeh / Al Denniyeh,Al Dennieh-Tarane,06/491409
al hiba 2,Rabih Yahya Chahal,LIBAN NORD,TRIPOLI,Tripoli-Quartier De La Maison De L`orphelinat-Rue Azmi,06/443209
al hikma,Mohammad Abdallah Soukarieh,BEKAA,-,Al Fakiha-Al Moualaka-La Rue Principale,08/325570
al hikma nabi chit,Mohamad Hussein Ali Moussawi,BEKAA,-,Al Nabi Chit-Baalback,76/763337-08/336001
al hikma-baalback,Houssein Ali Al Moukdad,BEKAA,-,Makneh-La Route Internationale De Baalback/Homs,08/305902
al hikmé,Chadi Victor Abi Ghosn,MONT LIBAN,-,Jbeil-Rue De L`Elysée,09/546514
al hikmeh-al hirmel,Mouhamad Tamer El Makhour,BEKAA,-,Al Hirmel-Al Maali-La Rue Principale,08/201803
al hilal,Zeinab Mohamad Houssein Alamiddine,Al Nabatieh,NABATIEH,Toul-Al Nabatieh,-
al hindi,Bassam Adel Hindi,MONT LIBAN,-,Zouk Mosbeh-Rue Principale,09/219094
al hoda,Mohamad Zakaria Al Assaad,MONT LIBAN,AL CHOUF,Al Chouf-Al Jiyeh-Al Saediyat,07/995736
al hoda 2,Ayman Abdel Karim Zaarour,BEKAA,-,Al Nabi Ottoman-Baalback,08/230193
al hoda 3,Mona Maher Natafgi,MONT LIBAN,ALEY,Daouhet Aramoun-Al Kobbeh,05/807766
al hosn pharmacy,Hosn Ghassan El Hajj,MONT LIBAN,AL CHOUF,Barja-Al Chouf,-
al houch,Samer Abdallah Zein,LIBAN SUD,TYR,Bourj Al Chamali-Rue Principale,07/348428
al houda,Hana M.Tarek Alameddin,LIBAN NORD,TRIPOLI,Tripoli-quartier Du Mosqée Al Ghandour-Rue Al Maarad,06/210195
al houda 2,ali Ahmad Ghosn,MONT LIBAN,BAABDA,Chiah -Rue Assaad Al Assaad,01/279835
al houda 3,Houda Mohammad Fayez Hassan Halabi,LIBAN NORD,-,Halba-Place Principale,26/691343
al houda 4,Abdelhadi Farouk Kakour,MONT LIBAN,AL CHOUF,Baassir-Al Chouf,07/920993
al houda al jadida,Huda Mahmoud Kassem Al Hajj,MONT LIBAN,BAABDA,Borj Al Barajneh-La Rue De Ousai,03/168469
al houssam,Salma Mouhamad Hmayed,Al Nabatieh,MERGEOUN,Khiam-Quartier De L`Ouest-La Rue Principale,07/840707
al houssam 2,Mazen Abdel Rahman El Jammal,LIBAN NORD,Al Minyeh / Al Denniyeh,Zouk Bhanine-Al Minyeh Dennieh,06/463969
al houssam 3,Hicham Houssam Wehbé,MONT LIBAN,ALEY,Aley-Aynab,05/410425
al houssein,Hassan Ali Al Ashkar,LIBAN SUD,TYR,Kana-Tyr,07/430966
al housseini,Maria Dana Constantin Dascalescu,BEKAA,-,Baalback-Rue Camille Chamoune-Propriete De Mohamad Housseini,03/517986-08/375415
al hout,Hicham Mohammad Hout,BEYROUTH,BEYROUTH,Mseitbeh-Wata Al Mseitbeh,01/816405
al ibtissam,Ahmad Ali Hemadi,LIBAN SUD,SAYDAH,kfarhatta -Kayssouf - rue principale,07/215051
al ikha`,Maher Chakib Benney,MONT LIBAN,ALEY,Jermani & MalaabRemhala-Kabr Chmoun-La Route De Baissour-Propriete De,05/411500
al ikhlas,Mirna Nazih Jida,LIBAN NORD,Al Minyeh / Al Denniyeh,Assoun-Al Denniyeh,06/490911
al iklim,Hassan Fadel Hassouna,Al Nabatieh,NABATIEH,Ain Kana-Al Nabatieh,07/211722
al imad,Imad Abbas Akouch,LIBAN SUD,AL ZEHRANI,Al Kharayeb-Rue De La Fontaine,07/360406
al imane,Iman Mouhamad Saghir,MONT LIBAN,BAABDA,Borj Al Barajneh-Rue De L`Imam Ali,01/475877
al imane 2,Amer Mohamad Hamouda,LIBAN NORD,TRIPOLI,Tripoli-Al Zeitoun-Abi Samra-Rue Al Bayane,06/425978
al imane 2000,Iman Muhieeddine Mezher,MONT LIBAN,BAABDA,Ghoubeiri,01/545573
al imane 3,Daoud Khattar Abou Rjeili,BEKAA,ZAHLE,Kfar Zabad-La Rue Principale,08/925305
al inaya,Issa Hussein Ajram,BEKAA,BEKAA OUEST,Jib Jenine_Rue Principale,08/660277
al inaya 2,Tony Wadih Kadi,BEKAA,ZAHLE,Bar Elias-La Route De Damas,08/511170
al inaya 3,Lamia Ahmad Fawal,BEYROUTH,BEYROUTH,Beyrouth-Al Mouseitbeh-Rue Maalouf,01/318693
al inaya 4,Ahmad Jamal El Sayed,LIBAN NORD,TRIPOLI,Tripoli-Al Beddawi,06/387187
al israّ,Rami Abdallah Sleiman,LIBAN SUD,TYR,Ain Baale-Al Hoche-Rue Principale,07/350044
al istikama,Rana Mohamad Awad,LIBAN NORD,TRIPOLI,Tripoli-quartier Al Zahrieh-Rue Des Eglises,06/626650
al istiklal,Omar Fouad Harb,BEYROUTH,BEYROUTH,Beyrouth-Rue Mohyi El Din Al Khayat,01/737107
al iter,Farida Ibrahim Iter,BEYROUTH,BEYROUTH,Beyrouth-TArik Al Jadida,01/652779
al ittihad,Sara Mayez Barakat,LIBAN NORD,-,Michmich-Akkar,06/895515
al jabal pharmacy,Batoul Mahmoud Mortada,MONT LIBAN,ALEY,Aytat-Aley,-
al jaddouh,Walid Bassam Jaddouh,BEKAA,ZAHLE,Haouch Al Oumara-Zahle,08/508689
al jamal,Faten Sammouh Jamal,LIBAN NORD,TRIPOLI,Tripoli-Abi Samra,06/445887
al jamiaa al jadida,Bassam Ali Kaadan,BEYROUTH,BEYROUTH,Ras El Nabeh-Rue Mohamad El Hout-Imm. Darwich,01/665522-01/633243
al jammal,Tarek Abdel Karim Jammal,MONT LIBAN,BAABDA,Ain El Remmeneh-Rue  St Maron,01/383853
al jammal 2,Jamale Hussein Hilal,MONT LIBAN,BAABDA,Cornayel-La Bifurcation De Ras El Matn-La Rue Principale,05/360390
al jammal 3,Aisha Hassan Al Jammal,BEYROUTH,BEYROUTH,Beyrouth-Rue Al Jammal,01/303365
al janoub,ALAmine Safi Ali,MONT LIBAN,BAABDA,Haret Hreik-Rue Ragheb Hareb,01/554604
al jardali,Hani Mouhammad Ali Jardali,LIBAN SUD,SAYDAH,Saida-Rue Fakher El Dine,07/723051
al jawad,Sami Mohamad Nassereddine,BEKAA,-,Al Hermel-La Rue Principale,08/201466
al jawad 2,Zeinab Khalil Baydoun,LIBAN SUD,TYR,Jowaya-Tyr,07/410079
al jerdi,Talal Wahib Jurdi,MONT LIBAN,ALEY,Al Choueifat-Amroussieh-Rue De La Fontaine,05/437950
al jinan,Rima Soukrat Khoder,Al Nabatieh,NABATIEH,Al kessaybeh-Rue Principale,07/540780
al jouma al haditha,Elena Vitali Yovsokova,LIBAN NORD,-,Ain Yakoub- La Route Principale,06/361266
al kaddoussi,Walid Hassan Kouddoussi,LIBAN NORD,Al Minyeh / Al Denniyeh,Al Bedawi- La Route Principale,06/386866
al kaem,Ahmad Youssef Awada,MONT LIBAN,BAABDA,Haret Hreik-quartier Bir Al Abed-Rue Mkerzel,01/273852
al kaem pharmacy,Ahmad Ali Marmar,Al Nabatieh,NABATIEH,Kfar Remmane,07/765636
al kafeat,Bassem Youssef Haidar,MONT LIBAN,BAABDA,Hadath-Autostrade Al Kafeat,05/464457
al kah`,Bassam Fayez Awad,BEKAA,-,Al Kah`-quartier de La Notre Dame-La Route Principale De Al Kah,08/225422
al kalaa,Joumana Michel Daoud,BEKAA,RACHAYA,Rachaya-Al MIdane-Rue Du Marché,08/595349
al kalaa 2,Khaldoun Salim Charif,LIBAN NORD,TRIPOLI,Tripoli-quartier Al Hadid,06/431090
al kamal,Ahmad Kamal Kaafarani,Al Nabatieh,NABATIEH,Borj Al Chamali-Tyr,07/510840
al kamal 2,Maher  Kamal Kawkab,MONT LIBAN,ALEY,Remhala,05/410011
al kaoussar,Zeinab Ali Makki,LIBAN SUD,SAYDAH,Ansarieh,07/391311
al karim al tebbiyah,Zeina Najib El Khomasy,Al Nabatieh,HASBAYA,Hasbaya-Quartier Al Abou-Propriete De Salim Al Tayr,07/550803
al kasr,Mohammad Abdul Halim Bdeir,MONT LIBAN,AL CHOUF,Chhim-Quartier Al Kasr,07/240540
al kassem,Fatima Mouhamad Hussein Jaafar,MONT LIBAN,BAABDA,Haret Hreik-Rue Abdel Nour,01/541641
al kawthar,Mouhammad Eid Ahmad Jahjah,MONT LIBAN,BAABDA,Borj Al Barajneh-quartier Al Sellom-La Rue étroite,05/482114
al kawthar 2,Hala Ali Youssef,Al Nabatieh,NABATIEH,Nabatieh-Al Charkieh-La Rue Principale,07/435953
al kawthar pharm,Abbass  Mohamad Shkier,BEKAA,-,Nahlé-Baalback,81/087289
al kayal,Mohamad Zaki Mohamad Nohad Al Kayal,LIBAN NORD,TRIPOLI,Tripoli-Al Tel,06/624295
al kayal 2,Samer Adel Kayal,BEKAA,BEKAA OUEST,Machghara-quartier St Nicolas-Rue Principale,08/650700-08/650700
al keylani,Ahmad Abdelhadi Al Kilani,LIBAN NORD,-,Deir Dalloum-Akkar,06/825812
al khaled,Walid Selim Ichtay,MONT LIBAN,AL CHOUF,Bekaata-Rue Principale,05/506181
al khalidi,Samir Riad Khalidi,LIBAN NORD,TRIPOLI,Tripoli-Abi Samra-Rue  Marj Al Zouhour,06/430667
al khalil,Ali Hassan Khalil,LIBAN SUD,TYR,Bourj Rahal-Al Baidar-La Rue Principale,07/380550
al khalil 2,Ghia Elias Arja,MONT LIBAN,AL MATN,Dbayeh-Haret Al Belleneh,04/541174
al khalil al jadida,Salha Akil Khalil,MONT LIBAN,BAABDA,Ghobeiry-Rue Assaad Al Assaad,01/277930
al kharrat,Mouna Georges Kharrat,MONT LIBAN,AL MATN,Cornet Chahwan-Route Principale,04/927100
al khatib,Ahmad Ibrahim Khatib,BEKAA,-,Temnine Al Tahta-La Rue Principale,08/900108
al khazen,Mohamad Ali Khazen,MONT LIBAN,AL CHOUF,Anout-La Route Principale,03/885518
al kheir,Mohammad Ahmad Khair,LIBAN NORD,Al Minyeh / Al Denniyeh,Al Minyeh-Ancienne Route Principale-Propriete De Kamel Bakri,06/462345
al khodr,Mahmoud Al Abed Fakih,LIBAN SUD,AL ZEHRANI,Al Sarafund-Quartier Al Mouchtarak-Rue Al Sarafund,07/442425
al khouer,Rania Hassan Khouair,BEKAA,RACHAYA,Al Rafid-La Bekaa,08/560065
al khreibeh,Daed Abdel Hamid Attal,LIBAN NORD,-,Khreibet Al Joundi-Akkar,06/693564
al koura,Nivine Abdelghani Adhami,LIBAN NORD,TRIPOLI,Tripoli-Al Haddadine-Place Al Koura,06/431366
al krayeh,Taleb Riad Daou,MONT LIBAN,BAABDA,Al Krayeh-La Rue Principale,05/260770
al labban al jadida,Abdelraouf Selim Labban,BEYROUTH,BEYROUTH,Hamra - Rue Habib Srour - Verdun,01/812424-01/810214
al labban-talet al khayat,Souha Jamil Labban,BEYROUTH,BEYROUTH,Beyrouth-Talet Al Khayat-La Rue De Hachem Al Khalil,01/788388
al labban-tarik al jadida,Mouhamad Abdellatif Labban,BEYROUTH,BEYROUTH,Beyrouth-Tarik Al Jadida,01/315211
al maarad,Nahla Salaheddine Ayoubi,LIBAN NORD,TRIPOLI,Tripoli-Face Hopital Al Nini-Rue Al Maarad,06/433533
al madina,Sawsan Hassan Wehbi,LIBAN NORD,TRIPOLI,Tripoli-Route Du Port-Rue Riyad Soleh,06/626530
al madina 2,Ali Mahdi Zougheib,LIBAN SUD,SAYDAH,Saida-Al Dacramane-Boulevard Maarouf Saad,07/725544
al maha,Maha Yaacoub Lakkis,LIBAN NORD,AL KOURA,Deddeh-Rue Principale,06/405119
al mahabat,Sobhi Dib Haddad,LIBAN NORD,TRIPOLI,Tripoli-Al Mina-Rue Du Palais Municipal,06/601866
al mahabat 2,Souha Moustapha Yehia,LIBAN NORD,-,Halba-Route Principale,06/692095
al mahabat 3,Marwan Issam Mehtar,MONT LIBAN,ALEY,Aitat-La Route De Chemlaine/Souk Al Ghareb,05/411413
al mahdi,Hassan Mohamad Rammal,Al Nabatieh,NABATIEH,Nabatieh-Al Douair-Marj Al Dajajah,07/436093
al mahdi 2,Nisrine Ibrahim Rifaii,MONT LIBAN,BAABDA,Chiah- Ousai-Rue Al Maramel,01/452627
al mahdi al jadida,Mohamed Ali Obeid,BEKAA,-,Doures-La Route Principale,08/377585
al mahdi al moussawi,Mehdi Abbas Moussaoui,BEKAA,-,"Al Nabi Chit-Baalback
i",08/335880
al majadel,Tayssir Ali Srour,LIBAN SUD,TYR,Mjadel-Route Principale,76/672127
al majed,Nahida Abdulkarim Ali,LIBAN NORD,AL KOURA,Ras Meska-Rue Principale,06/416257
al malak,Inaam Abdelhamid Masri,LIBAN NORD,-,Deir Dalloum-Akkar,06/625654
al malak 2,Ali Hamzé Mrad,MONT LIBAN,BAABDA,Hadath-Rue Leilaki,05/466226
al malaz,Fattoum Houssein Attrash,BEKAA,-,Arsal-Quartier Al Maysra,08/240287
al mallouleh,lina AhmadRateb Ketmeh,LIBAN NORD,TRIPOLI,Tripoli,06/381913
al manal,Youssef Tannir Maha,BEYROUTH,BEYROUTH,Nazraa-Rue Al Maarri,01/651090
al manar,Chafika Ahmad Cheikh,BEYROUTH,BEYROUTH,Beyrouth-Al Moseitbeh-Rue Mar Elias,01/303116
al manar 2,Mirna Mahmoud El Ali,LIBAN NORD,TRIPOLI,Tripoli-Al Kobbeh-La Route Du Nord,06/385152
al manar 3,Mohamad Mahmoud Assaf,BEKAA,-,Baalback-Boudai-Zaarourieh,70/633046
al manara,Mohamad Hussein Khatib,BEKAA,BEKAA OUEST,Al Manara-La Route De Rachaya,70/794915
al mansourieh,Danielle -Marie Josette Fouad Ghorra,MONT LIBAN,AL MATN,Mansourieh-Place Des Martyrs-Rue Pierre Gemayel,04/400456
al marej,Mohamad Zib Nazzal,LIBAN SUD,TYR,Srifa-La Rue Principale,07/385085
al markaz,Wafika Ahmad Hadid,Al Nabatieh,NABATIEH,Al Douair,07/435740
al markaziah,Nahida Ahmad Ayoub,BEYROUTH,BEYROUTH,Beyrouth-Al Bachoura-Rue De La Mère Guilace,01/970637
al marwanieh,Raya Ghaleb Jamaleddine,LIBAN SUD,AL ZEHRANI,Al Merwanieh,07/505040
al mashta,Walid Khaled Mohamed,LIBAN NORD,-,Machta Hassan-La Rue Principale,06/860076
al masri,Mahmoud Ahmad Masri,BEKAA,-,Baalback-Route De Homos,08/373631
al masri 2,Omar Ahmad El Masri,LIBAN NORD,-,Al Samounieh - Akkar,-
